Open,CLose,High,Low,Volume,Time
2.892368999999999869e+04,2.922199000000000160e+04,2.881522999999999956e+04,2.883490999999999985e+04,4.598890449999999873e+03,1.687341600000000000e+12
2.883491999999999825e+04,2.904036999999999898e+04,2.880100000000000000e+04,2.893000000000000000e+04,2.413470960000000105e+03,1.687345200000000000e+12
2.893000000000000000e+04,2.915179999999999927e+04,2.888911000000000058e+04,2.889372999999999956e+04,3.981456920000000082e+03,1.687348800000000000e+12
2.889374000000000160e+04,2.940495999999999913e+04,2.887581000000000131e+04,2.931199000000000160e+04,6.154830640000000130e+03,1.687352400000000000e+12
2.931199000000000160e+04,2.959199000000000160e+04,2.907370000000000073e+04,2.953600999999999840e+04,7.616126140000000305e+03,1.687356000000000000e+12
2.953602000000000044e+04,3.000000000000000000e+04,2.946777999999999884e+04,2.985158000000000175e+04,1.015481869000000006e+04,1.687359600000000000e+12
2.985158000000000175e+04,3.080000000000000000e+04,2.976336999999999898e+04,3.016458000000000175e+04,1.677970316000000093e+04,1.687363200000000000e+12
3.016458000000000175e+04,3.035000000000000000e+04,2.985400000000000000e+04,3.008022999999999956e+04,8.536623519999999189e+03,1.687366800000000000e+12
3.008022999999999956e+04,3.029197999999999956e+04,3.001018000000000029e+04,3.013138999999999942e+04,4.150120240000000194e+03,1.687370400000000000e+12
3.013138000000000102e+04,3.018336999999999898e+04,2.990381999999999971e+04,3.011202999999999884e+04,2.699011739999999918e+03,1.687374000000000000e+12
3.011202000000000044e+04,3.015270999999999913e+04,2.986000000000000000e+04,2.998800999999999840e+04,2.348956160000000182e+03,1.687377600000000000e+12
2.998800999999999840e+04,3.003270000000000073e+04,2.980000000000000000e+04,2.988095000000000073e+04,2.564402999999999793e+03,1.687381200000000000e+12
2.988095999999999913e+04,3.014999000000000160e+04,2.985775999999999840e+04,3.011456000000000131e+04,2.082134379999999965e+03,1.687384800000000000e+12
3.011454999999999927e+04,3.019577000000000044e+04,2.997090000000000146e+04,2.999388999999999942e+04,2.302441589999999906e+03,1.687388400000000000e+12
2.999388999999999942e+04,3.024550999999999840e+04,2.989115000000000146e+04,3.013947999999999956e+04,3.300880770000000211e+03,1.687392000000000000e+12
3.013947000000000116e+04,3.021383000000000175e+04,3.006236000000000058e+04,3.015906000000000131e+04,1.725435390000000098e+03,1.687395600000000000e+12
3.015906999999999971e+04,3.050000000000000000e+04,3.008468000000000029e+04,3.047211000000000058e+04,3.481617819999999938e+03,1.687399200000000000e+12
3.047211999999999898e+04,3.049358000000000175e+04,3.024190999999999985e+04,3.029600999999999840e+04,1.596665690000000041e+03,1.687402800000000000e+12
3.029600000000000000e+04,3.035000000000000000e+04,3.019800000000000000e+04,3.035000000000000000e+04,1.727507039999999961e+03,1.687406400000000000e+12
3.034999000000000160e+04,3.035000000000000000e+04,3.023756999999999971e+04,3.028529999999999927e+04,1.264040659999999889e+03,1.687410000000000000e+12
3.028529000000000087e+04,3.029384999999999854e+04,3.003690999999999985e+04,3.013002000000000044e+04,2.488106380000000172e+03,1.687413600000000000e+12
3.013002000000000044e+04,3.019000000000000000e+04,3.001000000000000000e+04,3.010075000000000000e+04,2.209531149999999798e+03,1.687417200000000000e+12
3.010075000000000000e+04,3.015200000000000000e+04,3.004000000000000000e+04,3.009670000000000073e+04,1.315357160000000022e+03,1.687420800000000000e+12
3.009668999999999869e+04,3.017818999999999869e+04,3.005708000000000175e+04,3.013436000000000058e+04,1.614219620000000077e+03,1.687424400000000000e+12
3.013436000000000058e+04,3.024400000000000000e+04,3.009677000000000044e+04,3.017800000000000000e+04,1.934953739999999925e+03,1.687428000000000000e+12
3.017800000000000000e+04,3.018468000000000029e+04,2.984009000000000015e+04,2.992800000000000000e+04,5.817376629999999750e+03,1.687431600000000000e+12
2.992800999999999840e+04,3.013768000000000029e+04,2.991847999999999956e+04,3.011549000000000160e+04,2.017588770000000068e+03,1.687435200000000000e+12
3.011547999999999956e+04,3.035113999999999942e+04,3.010747000000000116e+04,3.023599000000000160e+04,3.346576689999999871e+03,1.687438800000000000e+12
3.023599000000000160e+04,3.029199000000000160e+04,2.952561000000000058e+04,2.974675999999999840e+04,6.617874700000000303e+03,1.687442400000000000e+12
2.974675000000000000e+04,2.996358000000000175e+04,2.964695000000000073e+04,2.985065000000000146e+04,4.914166510000000017e+03,1.687446000000000000e+12
2.985065000000000146e+04,3.017695999999999913e+04,2.982150000000000000e+04,2.997002000000000044e+04,3.665236910000000080e+03,1.687449600000000000e+12
2.997000999999999840e+04,3.018727000000000044e+04,2.988738000000000102e+04,3.014529000000000087e+04,2.167974360000000161e+03,1.687453200000000000e+12
3.014529999999999927e+04,3.016708000000000175e+04,2.996475999999999840e+04,3.013399000000000160e+04,1.641144199999999955e+03,1.687456800000000000e+12
3.013399000000000160e+04,3.023483000000000175e+04,3.004409999999999854e+04,3.021311000000000058e+04,1.469217380000000048e+03,1.687460400000000000e+12
3.021311000000000058e+04,3.025675999999999840e+04,3.008150000000000000e+04,3.015206999999999971e+04,1.340220679999999902e+03,1.687464000000000000e+12
3.015208000000000175e+04,3.016416999999999825e+04,2.996102999999999884e+04,3.005406999999999971e+04,9.922076499999999442e+02,1.687467600000000000e+12
3.005406000000000131e+04,3.008472000000000116e+04,2.988000000000000000e+04,2.992777000000000044e+04,1.431634800000000041e+03,1.687471200000000000e+12
2.992777999999999884e+04,2.999800000000000000e+04,2.988490999999999985e+04,2.988491999999999825e+04,9.750298999999999978e+02,1.687474800000000000e+12
2.988491999999999825e+04,3.005400000000000000e+04,2.987591999999999825e+04,3.001000000000000000e+04,1.972802619999999933e+03,1.687478400000000000e+12
3.001000999999999840e+04,3.004545000000000073e+04,2.992625999999999840e+04,2.993352999999999884e+04,8.209694600000000264e+02,1.687482000000000000e+12
2.993352000000000044e+04,2.998490999999999985e+04,2.980000000000000000e+04,2.998490999999999985e+04,1.236233339999999998e+03,1.687485600000000000e+12
2.998490999999999985e+04,3.002590000000000146e+04,2.997572999999999956e+04,3.000795999999999913e+04,5.511838599999999815e+02,1.687489200000000000e+12
3.000797000000000116e+04,3.008225000000000000e+04,2.998754000000000087e+04,3.000200000000000000e+04,8.666506100000000288e+02,1.687492800000000000e+12
3.000200000000000000e+04,3.007384999999999854e+04,2.998704999999999927e+04,3.004200000000000000e+04,6.414145399999999881e+02,1.687496400000000000e+12
3.004200000000000000e+04,3.006233000000000175e+04,2.997427999999999884e+04,3.001218000000000029e+04,8.524349099999999453e+02,1.687500000000000000e+12
3.001218000000000029e+04,3.001218000000000029e+04,2.990429000000000087e+04,2.993199000000000160e+04,1.994662870000000112e+03,1.687503600000000000e+12
2.993200000000000000e+04,3.004120000000000073e+04,2.990670999999999913e+04,3.000811999999999898e+04,1.058143769999999904e+03,1.687507200000000000e+12
